School,Year,Source,Target
College of Engineering and Applied Sciences,Class of 2019,Engineering_Quad,62
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,62,Stanleys
College of Engineering and Applied Sciences,Class of 2019,62,Whispers
College of Engineering and Applied Sciences,Class of 2019,Brookings_Quad,62
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,62,Holmes
College of Engineering and Applied Sciences,Class of 2019,Brown_School,62
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,Sam_Fox,62
College of Engineering and Applied Sciences,Class of 2019,62,DUC
College of Engineering and Applied Sciences,Class of 2019,Northest_Corner,62
College of Engineering and Applied Sciences,Class of 2019,62,Stanleys
College of Arts and Sciences,Class of 2019,South_40,63
College of Arts and Sciences,Class of 2019,63,BD
College of Arts and Sciences,Class of 2019,Village,63
College of Arts and Sciences,Class of 2019,63,Village_Dining
College of Arts and Sciences,Class of 2019,AC_Frat_Row,63
College of Arts and Sciences,Class of 2019,63,BD
College of Arts and Sciences,Class of 2019,Bauer_Law_School,63
College of Arts and Sciences,Class of 2019,63,DUC
College of Arts and Sciences,Class of 2019,DUC_Area,63
College of Arts and Sciences,Class of 2019,63,DUC
College of Arts and Sciences,Class of 2019,Bio_Psych,63
College of Arts and Sciences,Class of 2019,63,DUC
College of Arts and Sciences,Class of 2019,Chemistry,63
College of Arts and Sciences,Class of 2019,63,DUC
College of Arts and Sciences,Class of 2019,Engineering_Quad,63
College of Arts and Sciences,Class of 2019,Brookings_Quad,63
College of Arts and Sciences,Class of 2019,63,DUC
College of Arts and Sciences,Class of 2019,Brown_School,63
College of Arts and Sciences,Class of 2019,Sam_Fox,63
College of Arts and Sciences,Class of 2019,Northest_Corner,63
College of Arts and Sciences,Class of 2019,South_40,64
College of Arts and Sciences,Class of 2019,64,DUC
College of Arts and Sciences,Class of 2019,Village,64
College of Arts and Sciences,Class of 2019,64,DUC
College of Arts and Sciences,Class of 2019,AC_Frat_Row,64
College of Arts and Sciences,Class of 2019,64,DUC
College of Arts and Sciences,Class of 2019,Bauer_Law_School,64
College of Arts and Sciences,Class of 2019,DUC_Area,64
College of Arts and Sciences,Class of 2019,64,DUC
College of Arts and Sciences,Class of 2019,Bio_Psych,64
College of Arts and Sciences,Class of 2019,64,DUC
College of Arts and Sciences,Class of 2019,Chemistry,64
College of Arts and Sciences,Class of 2019,Engineering_Quad,64
College of Arts and Sciences,Class of 2019,Brookings_Quad,64
College of Arts and Sciences,Class of 2019,Brown_School,64
College of Arts and Sciences,Class of 2019,Sam_Fox,64
College of Arts and Sciences,Class of 2019,Northest_Corner,64
College of Engineering and Applied Sciences,Class of 2020,South_40,65
College of Engineering and Applied Sciences,Class of 2020,65,BD
College of Engineering and Applied Sciences,Class of 2020,65,DUC
College of Engineering and Applied Sciences,Class of 2020,Village,65
College of Engineering and Applied Sciences,Class of 2020,65,DUC
College of Engineering and Applied Sciences,Class of 2020,65,Village_Dining
College of Engineering and Applied Sciences,Class of 2020,AC_Frat_Row,65
College of Engineering and Applied Sciences,Class of 2020,65,DUC
College of Engineering and Applied Sciences,Class of 2020,Bauer_Law_School,65
College of Engineering and Applied Sciences,Class of 2020,DUC_Area,65
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,65
College of Engineering and Applied Sciences,Class of 2020,65,DUC
College of Engineering and Applied Sciences,Class of 2020,65,Hillman
College of Engineering and Applied Sciences,Class of 2020,65,Holmes
College of Engineering and Applied Sciences,Class of 2020,Chemistry,65
College of Engineering and Applied Sciences,Class of 2020,Engineering_Quad,65
College of Engineering and Applied Sciences,Class of 2020,65,DUC
College of Engineering and Applied Sciences,Class of 2020,65,Stanleys
College of Engineering and Applied Sciences,Class of 2020,Brookings_Quad,65
College of Engineering and Applied Sciences,Class of 2020,Brown_School,65
College of Engineering and Applied Sciences,Class of 2020,Sam_Fox,65
College of Engineering and Applied Sciences,Class of 2020,Northest_Corner,65
College of Engineering and Applied Sciences,Class of 2020,65,DUC
College of Engineering and Applied Sciences,Class of 2020,65,Stanleys
College of Arts and Sciences,Class of 2021,South_40,66
College of Arts and Sciences,Class of 2021,66,BD
College of Arts and Sciences,Class of 2021,Village,66
College of Arts and Sciences,Class of 2021,66,DUC
College of Arts and Sciences,Class of 2021,AC_Frat_Row,66
College of Arts and Sciences,Class of 2021,66,DUC
College of Arts and Sciences,Class of 2021,Bauer_Law_School,66
College of Arts and Sciences,Class of 2021,DUC_Area,66
College of Arts and Sciences,Class of 2021,66,DUC
College of Arts and Sciences,Class of 2021,66,Einsteins
College of Arts and Sciences,Class of 2021,Bio_Psych,66
College of Arts and Sciences,Class of 2021,66,DUC
College of Arts and Sciences,Class of 2021,66,Holmes
College of Arts and Sciences,Class of 2021,Chemistry,66
College of Arts and Sciences,Class of 2021,66,DUC
College of Arts and Sciences,Class of 2021,Engineering_Quad,66
College of Arts and Sciences,Class of 2021,66,DUC
College of Arts and Sciences,Class of 2021,Brookings_Quad,66
College of Arts and Sciences,Class of 2021,66,DUC
College of Arts and Sciences,Class of 2021,Brown_School,66
College of Arts and Sciences,Class of 2021,66,DUC
College of Arts and Sciences,Class of 2021,Sam_Fox,66
College of Arts and Sciences,Class of 2021,Northest_Corner,66
College of Arts and Sciences,Class of 2022,South_40,67
College of Arts and Sciences,Class of 2022,67,BD
College of Arts and Sciences,Class of 2022,67,Einsteins
College of Arts and Sciences,Class of 2022,67,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Village,67
